week,morans_i
2020-03-02,-0.2723093753760332
2020-03-09,0.02491902881204998
2020-03-16,0.04713955346117808
2020-03-23,0.045714930951460106
2020-03-30,0.005039691175648078
2020-04-06,0.031618427129750694
2020-04-13,0.07354342137289921
2020-04-20,0.04170393339464253
2020-04-27,0.032626161913865824
2020-05-04,-0.03996844011973295
2020-05-11,-0.012303075783874615
2020-05-18,-0.04902843074653426
2020-05-25,-0.05700639846559569
2020-06-01,0.009102163105965944
2020-06-08,0.007672793608576682
2020-06-15,0.021552447167333445
2020-06-22,0.019627280560468183
2020-06-29,0.0857130913988031
2020-07-06,0.1710581927665706
2020-07-13,0.308607312019319
2020-07-20,0.4380258108291335
2020-07-27,0.3190459443374665
2020-08-03,0.18791015708955788
2020-08-10,0.16434226743618902
2020-08-17,0.21182709226218457
2020-08-24,0.16175506260098937
2020-08-31,0.15120000823529528
2020-09-07,0.1525245702778831
2020-09-14,0.15216108439202533
2020-09-21,0.17960706279457012
2020-09-28,0.29556281383376065
2020-10-05,0.32537719167238677
2020-10-12,0.26634797405588573
2020-10-19,0.155964544555387
2020-10-26,0.06200465071190674
2020-11-02,0.03978349181663257
2020-11-09,0.06094109847920301
2020-11-16,0.04676900589883293
2020-11-23,0.02991452822749565
2020-11-30,0.03527178522093129
2020-12-07,0.02015907344191466
2020-12-14,0.005685654202382858
2020-12-21,0.02917587925750501
2020-12-28,0.032791490969165886
2021-01-04,0.032545258440205276
2021-01-11,0.043689474586982135
2021-01-18,0.06005114102319758
2021-01-25,0.033389956133285666
2021-02-01,0.06518587307063717
2021-02-08,0.04839301501645788
2021-02-15,0.05451085509055698
2021-02-22,0.04497972782871093
2021-03-01,0.05568108991667886
2021-03-08,0.06616728200845565
2021-03-15,0.14909654187312066
2021-03-22,0.19422313883147319
2021-03-29,0.20849702305929513
2021-04-05,0.20933773216635035
2021-04-12,0.1376889582465457
2021-04-19,0.1185325686360531
2021-04-26,0.1670707100074949
2021-05-03,0.19650318741182515
2021-05-10,0.22824985154397584
2021-05-17,0.11034648965762578
2021-05-24,0.13641293189847647
2021-05-31,0.16955051652286418
2021-06-07,0.2313265926344106
2021-06-14,0.3509021205541881
2021-06-21,0.26864766943663326
2021-06-28,0.23688735092850835
2021-07-05,0.2575733971489123
2021-07-12,0.2518489623499334
2021-07-19,0.1983256182899816
2021-07-26,0.143303069001746
2021-08-02,0.11743429875105206
2021-08-09,0.10169383957842562
2021-08-16,0.035883944910142844
2021-08-23,0.024309020809781427
2021-08-30,0.02222422675545731
2021-09-06,0.010162371461598835
2021-09-13,0.0029242486169674103
2021-09-20,-0.0009709106339969294
2021-09-27,-0.00807856321072351
2021-10-04,-0.0073193845457015985
2021-10-11,-0.011088265393252235
2021-10-18,-0.007254988655891977
2021-10-25,-0.009255068104241933
2021-11-01,-0.014411950841068659
2021-11-08,-0.00763204024185999
2021-11-15,-0.0005810563200911528
2021-11-22,-0.004528929863586105
2021-11-29,-0.0033100644221151993
2021-12-06,-0.01528121389748768
2021-12-13,-0.009088836251192268
2021-12-20,-0.016486172304534554
2021-12-27,-0.03105946644373078
2022-01-03,0.004660013395033093
2022-01-10,0.06771111128940524
2022-01-17,0.24068590406210877
2022-01-24,0.22370185668038212
2022-01-31,0.032173670572246856
2022-02-07,-0.03198284554127171
2022-02-14,-0.033124091986248605
2022-02-21,-0.03094212134678182
2022-02-28,-0.03017950017023664
2022-03-07,-0.029665490261174
2022-03-14,-0.030286455962117858
2022-03-21,-0.02960729171272216
2022-03-28,-0.027912707648819098
2022-04-04,-0.025691256594776998
2022-04-11,-0.022479920228331698
2022-04-18,-0.01471650207797923
2022-04-25,0.02468819600919765
2022-05-02,0.08565011879327136
2022-05-09,0.05788099187374144
2022-05-16,0.0665887895854102
2022-05-23,0.03647880343714989
2022-05-30,0.07114392692240172
2022-06-06,0.04880683205189927
2022-06-13,0.10053980977960233
2022-06-20,0.13377259619435775
2022-06-27,0.21268344814981227
2022-07-04,0.20888475751279645
2022-07-11,0.19774099485705987
2022-07-18,0.1120288048959149
2022-07-25,0.07690093859902931
2022-08-01,0.04380739509444274
2022-08-08,0.04420832480844318
2022-08-15,0.02994440473764747
2022-08-22,0.05089400001948774
2022-08-29,0.06853519918064893
2022-09-05,0.0961858883644962
2022-09-12,0.17260032378069567
2022-09-19,0.16132332133924618
2022-09-26,0.0817815158558382
2022-10-03,0.08229416133734987
2022-10-10,0.23237497464591148
